 	Label	Area	Mean	Min	Max	X	Y	XM	YM
1	Screenshot (51).png:22066	0	207	207	207	951.000	181.000	951	181
2	Screenshot (51).png:20194	0	130	130	130	859.000	260.000	859	260
3	Screenshot (51).png:22102	0	207	207	207	1120.000	344.000	1120	344
4	Screenshot (51).png:22101	0	207	207	207	1250.000	382.000	1250	382
5	Screenshot (51).png:22182	0	207	207	207	1010.000	385.000	1010	385
6	Screenshot (51).png:20190	0	208	208	208	873.000	318.000	873	318
7	Screenshot (51).png:20191	0	207	207	207	841.000	391.000	841	391
8	Screenshot (51).png:20171	0	207	207	207	738.000	418.000	738	418
9	Screenshot (51).png:20151	0	121	121	121	643.000	523.000	643	523
10	Screenshot (51).png:20120	0	210	210	210	568.000	618.000	568	618
11	Screenshot (51).png:20121	0	210	210	210	604.000	722.000	604	722
12	Screenshot (51).png:22030	0	207	207	207	863.000	662.000	863	662
13	Screenshot (51).png:22033	0	108	108	108	767.000	554.000	767	554
14	Screenshot (51).png:22124	0	207	207	207	885.000	513.000	885	513
15	Screenshot (51).png:22181	0	108	108	108	970.000	472.000	970	472
16	Screenshot (51).png:22043	0	209	209	209	1184.000	485.000	1184	485
17	Screenshot (51).png:22046	0	208	208	208	1221.000	525.000	1221	525
18	Screenshot (51).png:22003	0	155	155	155	1037.000	602.000	1037	602
19	Screenshot (51).png:22044	0	207	207	207	1273.000	599.000	1273	599
20	Screenshot (51).png:22041	0	108	108	108	1310.000	633.000	1310	633
21	Screenshot (51).png:22312	0	108	108	108	1276.000	722.000	1276	722
22	Screenshot (51).png:22003	0	144	144	144	1139.000	676.000	1139	676
23	Screenshot (51).png:22032	0	207	207	207	977.000	711.000	977	711
24	Screenshot (51).png:20124	0	180	180	180	758.000	823.000	758	823
25	Screenshot (51).png:22039	0	210	210	210	924.000	905.000	924	905
26	Screenshot (51).png:22015	0	207	207	207	1000.000	798.000	1000	798
27	Screenshot (51).png:22152	0	108	108	108	1108.000	838.000	1108	838
28	Screenshot (51).png:22153	0	108	108	108	1100.000	922.000	1100	922
29	Screenshot (51).png:22079	0	210	210	210	1159.000	1100.000	1159	1100
30	Screenshot (51).png:22060	0	216	216	216	1266.000	1023.000	1266	1023
31	Screenshot (51).png:22309	0	207	207	207	1380.000	990.000	1380	990
32	Screenshot (51).png:22315	0	207	207	207	1288.000	886.000	1288	886
33	Screenshot (51).png:22310	0	108	108	108	1345.000	811.000	1345	811
34	Screenshot (51).png:22803	0	124	124	124	1445.000	781.000	1445	781
35	Screenshot (51).png:22306	0	210	210	210	1409.000	883.000	1409	883
36	Screenshot (51).png:22151	0	142	142	142	1154.000	753.000	1154	753
